id,received_at,uuid,context_page_title,context_user_agent,original_timestamp,path,timestamp,title,context_page_search,context_library_version,context_page_path,sent_at,uuid_ts,context_ip,context_library_name,context_page_url,url,anonymous_id,search,context_page_referrer,referrer,user_id,name,context_campaign_source,context_campaign_medium,context_campaign_name,context_campaign_content,context_campaign_term,author,construct,article_id,pub_date,sponsorship,article_type,mb_category
ajs-eca655ae51946b2200cbf29bbbe901c3,2018-06-09 00:21:28.49 +0000 +0000,1528,"ONE37pm | Men's Style, Grooming, Fitness, Career Advice & Culture","Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_1 like Mac OS X) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0 Mobile/15C153 Safari/604.1",2018-06-09 00:21:28.442 +0000 +0000,/about,2018-06-09 00:21:28.488 +0000 +0000,"ONE37pm | Men's Style, Grooming, Fitness, Career Advice & Culture",,3.6.0,/about,2018-06-09 00:21:28 +0000 +0000,2018-06-09 01:38:39 +0000 +0000,100.1.187.151,analytics.js,https://www.one37pm.com/,https://www.one37pm.com/,70019703-3abe-457b-adf8-de7bf759e8ad,,https://t.co/nlLKqcchzQ?amp=1,https://t.co/nlLKqcchzQ?amp=1,,About Page,,,,,,,,,,,,
ajs-60abe75181add2863a0fcb5a5de05ded,2018-06-09 04:07:00.362 +0000 +0000,1540,"ONE37pm | Men's Style, Grooming, Fitness, Career Advice & Culture","Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",2018-06-09 04:06:59.89 +0000 +0000,/,2018-06-09 04:07:00.362 +0000 +0000,"ONE37pm | Men's Style, Grooming, Fitness, Career Advice & Culture",,3.6.0,/,2018-06-09 04:07:00 +0000 +0000,2018-06-09 05:38:42 +0000 +0000,99.203.28.225,analytics.js,https://www.one37pm.com/,https://www.one37pm.com/,9b114bcd-b3da-4819-ba0b-37c0a7c0b62a,,https://t.co/nlLKqcchzQ?amp=1,https://t.co/nlLKqcchzQ?amp=1,,,,,,,,,,,,,,
ajs-7bd065df2f727964e840ad22d5649ae8,2018-06-09 04:07:50.3 +0000 +0000,1542,ONE37pm | Confirmation,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",2018-06-09 04:07:50.239 +0000 +0000,/confirmation.html,2018-06-09 04:07:50.299 +0000 +0000,ONE37pm | Confirmation,,3.6.0,/confirmation.html,2018-06-09 04:07:50 +0000 +0000,2018-06-09 05:38:42 +0000 +0000,99.203.28.225,analytics.js,https://www.one37pm.com/confirmation.html,https://www.one37pm.com/confirmation.html,9b114bcd-b3da-4819-ba0b-37c0a7c0b62a,,https://www.one37pm.com/,https://www.one37pm.com/,9b114bcd-b3da-4819-ba0b-37c0a7c0b62a,,,,,,,,,,,,,
ajs-37934176f3d68d9fbde364506a63ff24,2018-06-09 04:21:26.153 +0000 +0000,1538,ONE37pm | Confirmation,Mozilla/5.0 (Android 8.0.0; Mobile; rv:60.0) Gecko/60.0 Firefox/60.0,2018-06-09 04:21:26.003 +0000 +0000,/confirmation.html,2018-06-09 04:21:26.148 +0000 +0000,ONE37pm | Confirmation,,3.6.0,/confirmation.html,2018-06-09 04:21:26 +0000 +0000,2018-06-09 05:38:42 +0000 +0000,65.28.163.113,analytics.js,https://www.one37pm.com/confirmation.html,https://www.one37pm.com/confirmation.html,38aaef55-ad17-496a-9548-f2e50cd64fc8,,https://www.one37pm.com/,https://www.one37pm.com/,38aaef55-ad17-496a-9548-f2e50cd64fc8,,,,,,,,,,,,,
ajs-17d6296bdadf024d6cfb515d843fd04d,2018-06-09 04:21:45.986 +0000 +0000,1536,"ONE37pm | Men's Style, Grooming, Fitness, Career Advice & Culture",Mozilla/5.0 (Android 8.0.0; Mobile; rv:60.0) Gecko/60.0 Firefox/60.0,2018-06-09 04:21:45.91 +0000 +0000,/,2018-06-09 04:21:45.981 +0000 +0000,"ONE37pm | Men's Style, Grooming, Fitness, Career Advice & Culture",,3.6.0,/,2018-06-09 04:21:45 +0000 +0000,2018-06-09 05:38:42 +0000 +0000,65.28.163.113,analytics.js,https://www.one37pm.com/,https://www.one37pm.com/,38aaef55-ad17-496a-9548-f2e50cd64fc8,,https://t.co/nlLKqcchzQ,https://t.co/nlLKqcchzQ,38aaef55-ad17-496a-9548-f2e50cd64fc8,,,,,,,,,,,,,
ajs-066d00f3827c72fbc7c162246e36b423,2018-06-09 04:50:36.244 +0000 +0000,1530,ONE37pm | Confirmation,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E302 Instagram 46.0.0.14.96 (iPhone8,1; iOS 11_3_1; en_US; en-US; scale=2.00; gamut=normal; 750x1334)",2018-06-09 04:50:36.216 +0000 +0000,/confirmation.html,2018-06-09 04:50:36.243 +0000 +0000,ONE37pm | Confirmation,,3.6.0,/confirmation.html,2018-06-09 04:50:36 +0000 +0000,2018-06-09 05:38:42 +0000 +0000,73.225.198.104,analytics.js,https://www.one37pm.com/confirmation.html,https://www.one37pm.com/confirmation.html,507cbe62-4252-46e4-87ef-04ffda8908d8,,https://www.one37pm.com/,https://www.one37pm.com/,507cbe62-4252-46e4-87ef-04ffda8908d8,,,,,,,,,,,,,
ajs-13430874f6be649380686aae2bd82c56,2018-06-09 05:18:51.223 +0000 +0000,1532,"ONE37pm | Men's Style, Grooming, Fitness, Career Advice & Culture","Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15F79 Instagram 43.0.0.13.91 (iPhone10,6; iOS 11_4; en_US; en-US; scale=3.00; gamut=wide; 1125x2436)",2018-06-09 05:18:50.958 +0000 +0000,/,2018-06-09 05:18:51.222 +0000 +0000,"ONE37pm | Men's Style, Grooming, Fitness, Career Advice & Culture",,3.6.0,/,2018-06-09 05:18:51 +0000 +0000,2018-06-09 05:38:42 +0000 +0000,104.33.196.217,analytics.js,https://www.one37pm.com/,https://www.one37pm.com/,e00b92ad-522b-493c-8f2b-2ee6360a8dc3,,http://l.instagram.com/?u=http%3A%2F%2Fwww.ONE37pm.com%2F&e=ATPfqKAS7uBGgYdEBv3OcE1f2IPiZmJDIiqQJWfZzhMDcc-Ie_2vK8W4iOF4J0X_X6cDL_tRXdPN6oncvLKtG4Ns6b3znqGA7puv1n1FHsi_BUDO,http://l.instagram.com/?u=http%3A%2F%2Fwww.ONE37pm.com%2F&e=ATPfqKAS7uBGgYdEBv3OcE1f2IPiZmJDIiqQJWfZzhMDcc-Ie_2vK8W4iOF4J0X_X6cDL_tRXdPN6oncvLKtG4Ns6b3znqGA7puv1n1FHsi_BUDO,,,,,,,,,,,,,,
ajs-177d0de9c176163ff0ee1a6edb32729e,2018-06-09 05:19:08.494 +0000 +0000,1534,"ONE37pm | Men's Style, Grooming, Fitness, Career Advice & Culture","Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16A5288q Instagram 46.0.0.14.96 (iPhone8,1; iOS 12_0; en_US; en-US; scale=2.00; gamut=normal; 750x1334)",2018-06-09 05:19:08.06 +0000 +0000,/,2018-06-09 05:19:08.493 +0000 +0000,"ONE37pm | Men's Style, Grooming, Fitness, Career Advice & Culture",,3.6.0,/,2018-06-09 05:19:08 +0000 +0000,2018-06-09 05:38:42 +0000 +0000,24.60.247.113,analytics.js,https://www.one37pm.com/,https://www.one37pm.com/,c1017cbe-026c-4c46-8927-5d59027aa04b,,http://l.instagram.com/?u=http%3A%2F%2Fwww.ONE37pm.com%2F&e=ATOcs40u-CTMrFDoyRgjO_zsG7hfswGdv3mMIomnCfLZt1WikEdpx8RKoO8Qx5-zVrgAW5sO7OjAujlc247DYBqJctHfv4MRSYT7_MoF36UaSKm13Q,http://l.instagram.com/?u=http%3A%2F%2Fwww.ONE37pm.com%2F&e=ATOcs40u-CTMrFDoyRgjO_zsG7hfswGdv3mMIomnCfLZt1WikEdpx8RKoO8Qx5-zVrgAW5sO7OjAujlc247DYBqJctHfv4MRSYT7_MoF36UaSKm13Q,,,,,,,,,,,,,,
ajs-a2d6e4ee4963279c48b2e631ff65ff1b,2018-06-09 05:19:10.007 +0000 +0000,1544,"ONE37pm | Men's Style, Grooming, Fitness, Career Advice & Culture","Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15F79 Instagram 43.0.0.13.91 (iPhone10,6; iOS 11_4; en_US; en-US; scale=3.00; gamut=wide; 1125x2436)",2018-06-09 05:19:09.655 +0000 +0000,/,2018-06-09 05:19:10.006 +0000 +0000,"ONE37pm | Men's Style, Grooming, Fitness, Career Advice & Culture",,3.6.0,/,2018-06-09 05:19:10 +0000 +0000,2018-06-09 05:38:42 +0000 +0000,104.33.196.217,analytics.js,https://www.one37pm.com/,https://www.one37pm.com/,e00b92ad-522b-493c-8f2b-2ee6360a8dc3,,http://l.instagram.com/?u=http%3A%2F%2Fwww.ONE37pm.com%2F&e=ATPfqKAS7uBGgYdEBv3OcE1f2IPiZmJDIiqQJWfZzhMDcc-Ie_2vK8W4iOF4J0X_X6cDL_tRXdPN6oncvLKtG4Ns6b3znqGA7puv1n1FHsi_BUDO,http://l.instagram.com/?u=http%3A%2F%2Fwww.ONE37pm.com%2F&e=ATPfqKAS7uBGgYdEBv3OcE1f2IPiZmJDIiqQJWfZzhMDcc-Ie_2vK8W4iOF4J0X_X6cDL_tRXdPN6oncvLKtG4Ns6b3znqGA7puv1n1FHsi_BUDO,,,,,,,,,,,,,,
ajs-cd3d993b018353a7a06bfc544de2d5b9,2018-06-09 05:20:18.468 +0000 +0000,1546,"ONE37pm | Men's Style, Grooming, Fitness, Career Advice & Culture","Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E302 Instagram 46.0.0.14.96 (iPhone10,6; iOS 11_3_1; en_CA; en-CA; scale=3.00; gamut=wide; 1125x2436)",2018-06-09 05:20:17.39 +0000 +0000,/,2018-06-09 05:20:18.467 +0000 +0000,"ONE37pm | Men's Style, Grooming, Fitness, Career Advice & Culture",,3.6.0,/,2018-06-09 05:20:18 +0000 +0000,2018-06-09 05:38:42 +0000 +0000,24.114.78.65,analytics.js,https://www.one37pm.com/,https://www.one37pm.com/,f48e5480-9c54-4170-aac4-c8ff64c3b15a,,http://l.instagram.com/?u=http%3A%2F%2Fwww.ONE37pm.com%2F&e=ATPBk4AlsDpFhSvLIJ-3RG_TuR3xDypWJpg09lcuurNtFOBETXhHWAsLTq-Aky118O7r7jM0MRIFKuL4ydPTvJJU_ghWb2QsrJuDuo0gaKgNaP_Z,http://l.instagram.com/?u=http%3A%2F%2Fwww.ONE37pm.com%2F&e=ATPBk4AlsDpFhSvLIJ-3RG_TuR3xDypWJpg09lcuurNtFOBETXhHWAsLTq-Aky118O7r7jM0MRIFKuL4ydPTvJJU_ghWb2QsrJuDuo0gaKgNaP_Z,,,,,,,,,,,,,,
